"SKU","Category","Brand","Model","Item Name","Recently Purchase","Cost","Available","Total Sale"
"LCUHR","PC PART","Mi","Mi Monitor","Z Mi Curved Gaming Monitor 34 Mi Curved Gaming Monitor 34","not set","0","0","0"
"V0A4K","ACCESSORIES","Network","Network Cable","Network Cable 15M","not set","0","0","4"
"C7GEV","ACCESSORIES","Network","Network Cable","Network  Cable 20M","not set","0","0","1"
"not set","not set","not set","not set","ThinkPad E14 Gen 2 14"" Intel L","not set","0","0","0"
"not set","not set","not set","not set","Lenovo ThinkCenter","not set","0","0","0"
"ZT4WJ","APPLE","Power & Cables","Power Cable","Apple Charger Cable USB-C to Lightning (1m) iMac","not set","0","0","5"
"not set","not set","not set","not set","128GB","not set","0","0","6"
"not set","not set","not set","not set","LEVEN JS600 512GB ","not set","0","0","0"
"9GO2B","PC PART","SSD","SSD M2 PCIe","ADATA LEGEND 710 256GB","not set","0","0","6"
"not set","not set","not set","not set","ADATA LEGEND 700 512GB M.2 PCIe","not set","0","0","0"
"not set","not set","not set","not set","Apple Magic Mouse 2 Black","not set","0","0","0"
"WMELZ","APPLE","Power & Cables","Power Cable","Apple Charger Cable USB-C to USB-C Cable (1 m)","not set","0","0","0"
"DT5ZS","APPLE","Power & Cables","Power Cable","Apple Charger Cable USB-C to USB-C 240W (2m)","not set","0","0","5"
"DY3I7","APPLE","Power & Cables","Power Cable","Apple Charger Cable USB-A to Lightning 1m Wihite","not set","0","0","0"
"6BLTY","APPLE","Power & Cables","Power Cable","Apple Charger Cable USB-A to Lightning 1m Black","not set","0","0","0"
"not set","not set","not set","not set","Apple 20W Power Adapter ZP","not set","0","0","0"
"N4JAB","APPLE","Power & Cables","Power Cable","Apple Power Adapter 5W USB-A","not set","0","0","3"
"8KHXL","ACCESSORIES","UGREEN","Power Cable","UGREEN  USB-A to USB-C","not set","0","-1","1"
"OJMAZ","ACCESSORIES","Display / Audio","Video Accessories","Display Adapter Mini DP to HDMI ","not set","0","0","1"
